method_label,method,mode,train_seed,run_name,checkpoint_path,eval_seed,episode_rng_seed,episode_return,episode_cost,episode_length,success,violation_rate,min_clearance,path_length,start_pos,goal_pos,obstacle_pos,obstacle_radius,safe_margin,action_scale
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,910005,671378648,-1.8430894269049163,10.0,13,1.0,0.7692307692307693,-0.08124556496739388,0.474954916164279,"[0.4361231029033661, -0.1772453933954239, 0.2361660897731781]","[0.5844542980194092, 0.20250603556632996, 0.23440320789813995]","[0.5019171833992004, -0.02361295372247696, 0.261642187833786]",0.07,0.13,0.03
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,910005,1536788679,-7.4932114586853205,10.0,100,0.0,0.1,-0.07330483302474022,0.44715663408686623,"[0.4361231029033661, -0.1772453933954239, 0.2361660897731781]","[0.5844542980194092, 0.20250603556632996, 0.23440320789813995]","[0.5019171833992004, -0.02361295372247696, 0.261642187833786]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910005,1552801054,-3.4161909098178147,13.0,30,1.0,0.43333333333333335,-0.0851662988960743,0.5229900842532516,"[0.4361231029033661, -0.1772453933954239, 0.2361660897731781]","[0.5844542980194092, 0.20250603556632996, 0.23440320789813995]","[0.5019171833992004, -0.02361295372247696, 0.261642187833786]",0.07,0.13,0.03
STAR+Exec,star_v2,star_exec,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910005,2092247406,-50.07322657227517,1.0,100,0.0,0.01,0.031067277193069454,3.813857449218631,"[0.4361231029033661, -0.1772453933954239, 0.2361660897731781]","[0.5844542980194092, 0.20250603556632996, 0.23440320789813995]","[0.5019171833992004, -0.02361295372247696, 0.261642187833786]",0.07,0.13,0.03
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,910006,822951266,-1.4959187339246274,10.0,12,1.0,0.8333333333333334,-0.09220153942704201,0.41546780429780483,"[0.45562171936035156, -0.17386271059513092, 0.23175284266471863]","[0.5712635517120361, 0.19125740230083466, 0.2765040695667267]","[0.47548437118530273, -0.011572698131203651, 0.23856733739376068]",0.07,0.13,0.03
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,910006,1116789117,-1.2792719015479088,9.0,11,1.0,0.8181818181818182,-0.06790675699710846,0.3690242301672697,"[0.45562171936035156, -0.17386271059513092, 0.23175284266471863]","[0.5712635517120361, 0.19125740230083466, 0.2765040695667267]","[0.47548437118530273, -0.011572698131203651, 0.23856733739376068]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910006,1166314660,-9.259697213572894,17.0,100,0.0,0.17,-0.027919379174709325,0.5693999666093532,"[0.45562171936035156, -0.17386271059513092, 0.23175284266471863]","[0.5712635517120361, 0.19125740230083466, 0.2765040695667267]","[0.47548437118530273, -0.011572698131203651, 0.23856733739376068]",0.07,0.13,0.03
STAR+Exec,star_v2,star_exec,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910006,1706850516,-49.864295852184284,0.0,100,0.0,0.0,0.06058562815189361,1.7807903475168132,"[0.45562171936035156, -0.17386271059513092, 0.23175284266471863]","[0.5712635517120361, 0.19125740230083466, 0.2765040695667267]","[0.47548437118530273, -0.011572698131203651, 0.23856733739376068]",0.07,0.13,0.03
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,910007,1175064052,-1.9016775384545326,11.0,13,1.0,0.8461538461538461,-0.09346748992800713,0.43433182314038277,"[0.46897536516189575, -0.1990162432193756, 0.25112536549568176]","[0.5407417416572571, 0.21002939343452454, 0.2852194011211395]","[0.49719566106796265, -0.01871640793979168, 0.22137270867824554]",0.07,0.13,0.03
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,910007,899148267,-1.8372467529773706,11.0,13,1.0,0.8461538461538461,-0.06235086649656296,0.41959884762763977,"[0.46897536516189575, -0.1990162432193756, 0.25112536549568176]","[0.5407417416572571, 0.21002939343452454, 0.2852194011211395]","[0.49719566106796265, -0.01871640793979168, 0.22137270867824554]",0.07,0.13,0.03
