task,seed,run_name,step,reference_age,reference_age_bin,rho_cur,rho_cor,corridor_risk_lift,lift_positive,shadow_excess,effective_beta,redteam_entropy,reference_kl,highest_risk_current,highest_risk_corridor,actor_mean_risk,source_kind,source_file
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,200000,1.0,age=1-5,0.6903371214866638,0.6903371214866638,-1.1641532182693481e-10,0.03125,0.21947795152664185,0.5267370939254761,2.7122092247009277,-3.209454007446766e-06,0.6903371214866638,0.6903371214866638,0.6856664419174194,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,205000,1.0,age=1-5,0.6796118021011353,0.6796118021011353,-4.656612873077393e-10,0.015625,0.2073434442281723,0.5317870378494263,2.7184300422668457,-3.507593646645546e-06,0.6796118021011353,0.6796118021011353,0.675507664680481,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,210000,1.0,age=1-5,0.6788697838783264,0.6788697838783264,-1.1641532182693481e-10,0.01953125,0.21256083250045776,0.533594012260437,2.71759033203125,-2.7993228286504745e-06,0.6788697838783264,0.6788697838783264,0.675093412399292,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,215000,1.0,age=1-5,0.7020406723022461,0.7020406723022461,6.984919309616089e-10,0.015625,0.23064443469047546,0.5301129817962646,2.7082502841949463,-3.0582305043935776e-06,0.7020406723022461,0.7020406723022461,0.6984559893608093,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,220000,1.0,age=1-5,0.6968994736671448,0.6968994736671448,-1.1641532182693481e-10,0.01171875,0.22533488273620605,0.5344104170799255,2.698715925216675,-3.1632371246814728e-06,0.6968994736671448,0.6968994736671448,0.6914795637130737,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,225000,1.0,age=1-5,0.6602175235748291,0.6602175235748291,-1.0477378964424133e-09,0.00390625,0.19494947791099548,0.5290449857711792,2.6928629875183105,-2.9515940696001053e-06,0.6602175235748291,0.6602175235748291,0.6547353267669678,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,230000,1.0,age=1-5,0.6653698086738586,0.6653698086738586,5.820766091346741e-10,0.01171875,0.20471125841140747,0.5316709280014038,2.732475757598877,-3.6079436540603638e-06,0.6653698086738586,0.6653698086738586,0.6624438762664795,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,235000,1.0,age=1-5,0.6869829893112183,0.6869829893112183,-3.4924596548080444e-10,0.015625,0.21686796844005585,0.5277746915817261,2.7079877853393555,-3.2669631764292717e-06,0.6869829893112183,0.6869829893112183,0.6831969618797302,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,240000,1.0,age=1-5,0.6914972066879272,0.6914972066879272,-8.149072527885437e-10,0.0078125,0.2195780873298645,0.5302895307540894,2.7135276794433594,-2.818065695464611e-06,0.6914972066879272,0.6914972066879272,0.6877959966659546,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,245000,1.0,age=1-5,0.6712815761566162,0.6712815761566162,1.4551915228366852e-09,0.02734375,0.20624208450317383,0.5314606428146362,2.70105242729187,-2.7829082682728767e-06,0.6712815761566162,0.6712815761566162,0.6660563945770264,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,250000,1.0,age=1-5,0.6890172362327576,0.6890172362327576,2.3283064365386963e-10,0.0234375,0.21927717328071594,0.5302600860595703,2.693708896636963,-2.852058969438076e-06,0.6890172362327576,0.6890172362327576,0.6847195029258728,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,255000,1.0,age=1-5,0.697091817855835,0.697091817855835,-6.984919309616089e-10,0.00390625,0.2287929356098175,0.5337224006652832,2.7257347106933594,-2.9637012630701065e-06,0.697091817855835,0.697091817855835,0.6936945915222168,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,260000,1.0,age=1-5,0.7025583386421204,0.7025583386421204,0.0,0.015625,0.23123109340667725,0.528728723526001,2.7127420902252197,-2.9295915737748146e-06,0.7025583386421204,0.7025583386421204,0.6991955041885376,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,265000,1.0,age=1-5,0.7021048069000244,0.7021048069000244,8.149072527885437e-10,0.01953125,0.2320975959300995,0.5335725545883179,2.7105422019958496,-2.9203947633504868e-06,0.7021048069000244,0.7021048069000244,0.6979223489761353,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,270000,1.0,age=1-5,0.6977006196975708,0.6977006196975708,1.280568540096283e-09,0.02734375,0.2257293462753296,0.5284594297409058,2.7181854248046875,-3.155320882797241e-06,0.6977006196975708,0.6977006196975708,0.6939595937728882,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,275000,1.0,age=1-5,0.6647289395332336,0.6647289395332336,-1.0477378964424133e-09,0.015625,0.2022329866886139,0.5330461263656616,2.703982353210449,-2.8690556064248085e-06,0.6647289395332336,0.6647289395332336,0.6602168083190918,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,280000,1.0,age=1-5,0.6895785927772522,0.6895785927772522,-1.280568540096283e-09,0.00390625,0.21945390105247498,0.5314846038818359,2.7057838439941406,-3.0639348551630974e-06,0.6895785927772522,0.6895785927772522,0.6839775443077087,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,285000,1.0,age=1-5,0.6786483526229858,0.6786483526229858,3.4924596548080444e-10,0.02734375,0.20661941170692444,0.5310630798339844,2.7239441871643066,-3.1186500564217567e-06,0.6786483526229858,0.6786483526229858,0.674978494644165,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,290000,1.0,age=1-5,0.6889691352844238,0.6889691352844238,1.280568540096283e-09,0.0234375,0.2150711715221405,0.5317614674568176,2.7094085216522217,-2.782093361020088e-06,0.6889691352844238,0.6889691352844238,0.6850979328155518,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,295000,1.0,age=1-5,0.6825334429740906,0.6825334429740906,-5.820766091346741e-10,0.0078125,0.21587060391902924,0.5334897637367249,2.704881191253662,-2.956017851829529e-06,0.6825334429740906,0.6825334429740906,0.6795425415039062,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,11,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11,100000,1.0,age=1-5,0.6842944622039795,0.6842944622039795,-6.984919309616089e-10,0.015625,0.21845635771751404,0.5289082527160645,2.7027320861816406,-2.9029324650764465e-06,0.6842944622039795,0.6842944622039795,0.679699182510376,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11/mechanism.csv
SafetyCarButton1-v0,11,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11,105000,1.0,age=1-5,0.6417704820632935,0.6417704820632935,1.0477378964424133e-09,0.0234375,0.19017648696899414,0.531380295753479,2.724242687225342,-3.06498259305954e-06,0.6417704820632935,0.6417704820632935,0.63840651512146,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11/mechanism.csv
SafetyCarButton1-v0,11,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11,110000,1.0,age=1-5,0.65934157371521,0.65934157371521,-1.1641532182693481e-09,0.00390625,0.21204707026481628,0.5310202836990356,2.722822666168213,-2.8961803764104843e-06,0.65934157371521,0.65934157371521,0.6566067934036255,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11/mechanism.csv
SafetyCarButton1-v0,11,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11,115000,1.0,age=1-5,0.663299560546875,0.663299560546875,-3.4924596548080444e-10,0.0078125,0.20223179459571838,0.5303026437759399,2.7215521335601807,-2.730521373450756e-06,0.663299560546875,0.663299560546875,0.6595030426979065,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11/mechanism.csv
SafetyCarButton1-v0,11,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11,120000,1.0,age=1-5,0.6583908796310425,0.6583908796310425,8.149072527885437e-10,0.02734375,0.2041761726140976,0.5342323780059814,2.722282648086548,-2.5060726329684258e-06,0.6583908796310425,0.6583908796310425,0.6556421518325806,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11/mechanism.csv
SafetyCarButton1-v0,11,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11,125000,1.0,age=1-5,0.6932321786880493,0.6932321786880493,1.3969838619232178e-09,0.0234375,0.22819167375564575,0.5289440155029297,2.7148423194885254,-2.9079383239150047e-06,0.6932321786880493,0.6932321786880493,0.6890950798988342,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11/mechanism.csv
