method_label,method,mode,train_seed,run_name,checkpoint_path,eval_seed,episode_rng_seed,episode_return,episode_cost,episode_length,success,violation_rate,min_clearance,path_length,start_pos,goal_pos,obstacle_pos,obstacle_radius,safe_margin,action_scale
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,900020,598827683,-11.547472540945751,17.0,100,0.0,0.17,-0.018282626867294316,0.4658394852804122,"[0.46247538924217224, -0.18723388016223907, 0.24911755323410034]","[0.5879696011543274, 0.172653928399086, 0.2876209616661072]","[0.5135095119476318, 0.02973897196352482, 0.279028058052063]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,900021,1421234741,-9.873529759724628,11.0,100,0.0,0.11,-0.05729089409112931,0.38697500977036725,"[0.4695611596107483, -0.16655953228473663, 0.2671250104904175]","[0.5787121057510376, 0.16632570326328278, 0.2424091100692749]","[0.5236983895301819, -0.025522926822304726, 0.22132137417793274]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,900022,1304363919,-2.866585480682552,15.0,25,1.0,0.6,-0.08232315734028817,0.45536591997370124,"[0.44683119654655457, -0.1604251116514206, 0.24690936505794525]","[0.5401898622512817, 0.2045670449733734, 0.22028972208499908]","[0.5213019847869873, 0.021793343126773834, 0.2369672805070877]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,900023,985150233,-8.255336824740436,10.0,100,0.0,0.1,-0.03615673363208771,0.4672339046098841,"[0.45460665225982666, -0.16184404492378235, 0.2543744444847107]","[0.520872175693512, 0.21343518793582916, 0.27601906657218933]","[0.4823909401893616, 0.008160191588103771, 0.2280718833208084]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,900024,618440378,-2.0185476699098936,11.0,21,1.0,0.5238095238095238,-0.10408734261989594,0.4626755495555699,"[0.4305607080459595, -0.16082800924777985, 0.26208990812301636]","[0.5597785711288452, 0.17131899297237396, 0.24839188158512115]","[0.5274180769920349, -0.011799790896475315, 0.27660906314849854]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,900025,1406899756,-8.354944562315938,9.0,100,0.0,0.09,-0.08338842272758484,0.49729239057955965,"[0.45662984251976013, -0.1665136218070984, 0.26594313979148865]","[0.5259184837341309, 0.2138124406337738, 0.2804993987083435]","[0.5172567367553711, -0.0206606462597847, 0.2700408399105072]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,900026,1255327638,-3.368851861581206,14.0,26,1.0,0.5384615384615384,-0.06714199960231781,0.5137375248596072,"[0.45333701372146606, -0.19194842875003815, 0.23256729543209076]","[0.5514136552810669, 0.20277737081050873, 0.25089171528816223]","[0.5195711255073547, 0.01191038079559803, 0.24722278118133545]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,900027,1037432576,-1.8943788543343547,16.0,17,1.0,0.9411764705882353,-0.057635364234447484,0.40111005026847124,"[0.4550098180770874, -0.17748959362506866, 0.25122928619384766]","[0.521673321723938, 0.1837957352399826, 0.278251975774765]","[0.5069983005523682, 0.006867865566164255, 0.22848884761333466]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,900028,761981585,-2.3180458901077508,15.0,21,1.0,0.7142857142857143,-0.07078819826245308,0.438814383931458,"[0.44650357961654663, -0.1709640622138977, 0.25685155391693115]","[0.5887688398361206, 0.16971638798713684, 0.24029065668582916]","[0.5042981505393982, -0.012818343937397003, 0.25946488976478577]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,900029,1517148679,-8.229934646786177,15.0,100,0.0,0.15,-0.07077197834849358,0.5158536846322477,"[0.43766671419143677, -0.16334813833236694, 0.23400919139385223]","[0.54459547996521, 0.14491145312786102, 0.2628594934940338]","[0.48247644305229187, -0.00923106912523508, 0.2649533748626709]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,900030,984241122,-2.9425273378565913,15.0,29,1.0,0.5172413793103449,-0.05429596930742264,0.48436762345954776,"[0.46160009503364563, -0.18894122540950775, 0.2621757686138153]","[0.563180148601532, 0.15069879591464996, 0.25791773200035095]","[0.523825466632843, -0.005072151310741901, 0.2760964334011078]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,900031,1303208820,-8.488755461182661,13.0,100,0.0,0.13,-0.03499898046255112,0.5273421180650075,"[0.4532417953014374, -0.19949780404567719, 0.24744641780853271]","[0.5532424449920654, 0.2085336148738861, 0.2762001156806946]","[0.49210187792778015, -0.02596331387758255, 0.23024193942546844]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,900032,1420047054,-13.563656499907376,26.0,100,0.0,0.26,-0.047872160673141484,0.547245237743482,"[0.44899800419807434, -0.16584214568138123, 0.2529883086681366]","[0.5691049695014954, 0.2086142748594284, 0.2110767811536789]","[0.4993896782398224, 0.02656044438481331, 0.2669576108455658]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,900033,597885528,-3.224518192037941,15.0,25,1.0,0.6,-0.04481910645961762,0.5258423238992691,"[0.44564828276634216, -0.19862514734268188, 0.24260322749614716]","[0.5600535869598389, 0.18601593375205994, 0.2435818463563919]","[0.5120728015899658, 0.004766565747559071, 0.2749100923538208]",0.07,0.13,0.03
