phase,task,method,seed,step,return_value,cost_value,cumulative_cost,source_file,source_kind
resume_300k,SafetyCarButton1-v0,current_only_v2,10,139000,11.707991288580443,341.0,31695.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,140000,26.054375813881723,102.0,31797.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,141000,28.34230807835904,149.0,31946.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,142000,16.617843537635473,313.0,32259.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,143000,22.51582005985072,79.0,32338.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,144000,18.688725833724437,558.0,32896.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,145000,15.685731935938167,468.0,33364.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,146000,22.16303856207853,197.0,33561.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,147000,11.217299987903756,297.0,33858.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,148000,22.86395427125223,161.0,34019.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,149000,16.249868453079706,357.0,34376.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,150000,11.862953696917542,239.0,34615.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,151000,9.026246757571549,507.0,35122.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,152000,25.36164048416365,233.0,35355.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,153000,22.16334301146874,252.0,35607.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,154000,8.854780562843839,284.0,35891.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,155000,9.054689302557854,251.0,36142.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,156000,2.4403269466008144,456.0,36598.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,157000,18.009249747527214,561.0,37159.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,158000,20.388817047041876,325.0,37484.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,159000,5.593008912993176,686.0,38170.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,160000,25.393989294950924,279.0,38449.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,161000,22.162243761006213,116.0,38565.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,162000,16.44184263419768,397.0,38962.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,163000,29.637685267276233,136.0,39098.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,164000,1.564928196314478,411.0,39509.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,165000,21.028323154938505,110.0,39619.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,166000,18.070563897793544,235.0,39854.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,167000,12.339594552253892,221.0,40075.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,168000,21.351154456513036,487.0,40562.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,169000,20.01223731706928,196.0,40758.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,170000,16.794117624558154,223.0,40981.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,171000,28.72333482851178,94.0,41075.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
