eval_seed,mode,episode_reward,episode_cost,episode_length,success,violation_rate,collision_rate,min_clearance,path_length,fallback_rate,found_but_not_executed_rate,latency_ms,train_seed,run_name,candidates,margin,checkpoint
800012,raw,-1.2802897220849987,11.0,11,1.0,1.0,1.0,-0.03093579381704331,0.3685364816337824,0.0,0.0,2.1443153646859257,10,panda_final_star_cfg2_star_v2_s10,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s10/checkpoint/final.torch
800012,star_exec,-1.4084565356373788,11.0,12,1.0,0.9166666666666666,0.9166666666666666,-0.04515260055661202,0.42944359965622425,1.0,0.0,2.509628732999166,10,panda_final_star_cfg2_star_v2_s10,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s10/checkpoint/final.torch
800013,raw,-0.6849033265560864,10.0,10,1.0,1.0,1.0,-0.02921761170029641,0.3156771082431078,0.0,0.0,1.8811266869306564,10,panda_final_star_cfg2_star_v2_s10,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s10/checkpoint/final.torch
800013,star_exec,-0.763325877338648,10.0,10,1.0,1.0,1.0,-0.023937809914350516,0.36697573959827423,1.0,0.0,2.41406187415123,10,panda_final_star_cfg2_star_v2_s10,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s10/checkpoint/final.torch
800014,raw,-1.194850195348263,11.0,12,1.0,0.9166666666666666,0.9166666666666666,-0.04340732999145985,0.38776155933737755,0.0,0.0,1.9564302638173103,10,panda_final_star_cfg2_star_v2_s10,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s10/checkpoint/final.torch
800014,star_exec,-1.3233528943359845,11.0,12,1.0,0.9166666666666666,0.9166666666666666,-0.03927758120000363,0.4274020902812481,1.0,0.0,2.4094746137658754,10,panda_final_star_cfg2_star_v2_s10,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s10/checkpoint/final.torch
800015,raw,-0.8898273664712905,9.0,10,1.0,0.9,0.9,-0.0018277910351753301,0.3294789046049118,0.0,0.0,1.8797039985656738,10,panda_final_star_cfg2_star_v2_s10,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s10/checkpoint/final.torch
800015,star_exec,-1.0259008835256098,9.0,11,1.0,0.8181818181818182,0.8181818181818182,-0.016600425988435752,0.39854676462709904,1.0,0.0,2.6300806890834463,10,panda_final_star_cfg2_star_v2_s10,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s10/checkpoint/final.torch
800016,raw,-0.6057249192893506,9.0,9,1.0,1.0,1.0,-0.04325726598501206,0.31194806285202503,0.0,0.0,1.9833677344852023,10,panda_final_star_cfg2_star_v2_s10,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s10/checkpoint/final.torch
800016,star_exec,-0.7003797958791258,8.0,9,1.0,0.8888888888888888,0.8888888888888888,-0.026390876322984702,0.3340589068830013,1.0,0.0,2.4220223228136697,10,panda_final_star_cfg2_star_v2_s10,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s10/checkpoint/final.torch
800017,raw,-0.9592985324561596,9.0,10,1.0,0.9,0.9,-0.02973728224635125,0.3395553696900606,0.0,0.0,1.8912352621555328,10,panda_final_star_cfg2_star_v2_s10,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s10/checkpoint/final.torch
